Epoch:9/10 || Epochiter: 5/403 || Iter: 3229/4030 || Loc: 0.9583 Cla: 1.5620 Landm: 3.3665 || LR: 0.00100000 || Batchtime: 1.1210 s || ETA: 0:14:59
Epoch:9/10 || Epochiter: 6/403 || Iter: 3230/4030 || Loc: 1.0276 Cla: 1.6788 Landm: 2.6553 || LR: 0.00100000 || Batchtime: 0.9584 s || ETA: 0:12:47
Epoch:9/10 || Epochiter: 7/403 || Iter: 3231/4030 || Loc: 1.1232 Cla: 1.6743 Landm: 4.3476 || LR: 0.00100000 || Batchtime: 1.3614 s || ETA: 0:18:09
Epoch:9/10 || Epochiter: 8/403 || Iter: 3232/4030 || Loc: 1.1598 Cla: 1.6846 Landm: 3.8553 || LR: 0.00100000 || Batchtime: 0.9505 s || ETA: 0:12:39
Epoch:9/10 || Epochiter: 9/403 || Iter: 3233/4030 || Loc: 1.1371 Cla: 1.6480 Landm: 3.7071 || LR: 0.00100000 || Batchtime: 0.9116 s || ETA: 0:12:07
Epoch:9/10 || Epochiter: 10/403 || Iter: 3234/4030 || Loc: 0.8987 Cla: 1.4906 Landm: 2.6652 || LR: 0.00100000 || Batchtime: 0.9824 s || ETA: 0:13:02
Epoch:9/10 || Epochiter: 11/403 || Iter: 3235/4030 || Loc: 1.1919 Cla: 1.6056 Landm: 3.6363 || LR: 0.00100000 || Batchtime: 1.0592 s || ETA: 0:14:03
Epoch:9/10 || Epochiter: 12/403 || Iter: 3236/4030 || Loc: 0.9429 Cla: 1.3960 Landm: 3.0060 || LR: 0.00100000 || Batchtime: 0.9185 s || ETA: 0:12:10
Epoch:9/10 || Epochiter: 13/403 || Iter: 3237/4030 || Loc: 1.0937 Cla: 1.5993 Landm: 3.9185 || LR: 0.00100000 || Batchtime: 0.9445 s || ETA: 0:12:29
Epoch:9/10 || Epochiter: 14/403 || Iter: 3238/4030 || Loc: 1.2718 Cla: 1.8023 Landm: 5.8802 || LR: 0.00100000 || Batchtime: 1.3514 s || ETA: 0:17:51
Epoch:9/10 || Epochiter: 15/403 || Iter: 3239/4030 || Loc: 1.1538 Cla: 1.7414 Landm: 2.6873 || LR: 0.00100000 || Batchtime: 1.0113 s || ETA: 0:13:20
Epoch:9/10 || Epochiter: 16/403 || Iter: 3240/4030 || Loc: 0.9933 Cla: 1.8131 Landm: 3.7532 || LR: 0.00100000 || Batchtime: 0.9774 s || ETA: 0:12:53
Epoch:9/10 || Epochiter: 17/403 || Iter: 3241/4030 || Loc: 0.9844 Cla: 1.5355 Landm: 3.2881 || LR: 0.00100000 || Batchtime: 1.0123 s || ETA: 0:13:19
Epoch:9/10 || Epochiter: 18/403 || Iter: 3242/4030 || Loc: 1.2629 Cla: 1.6666 Landm: 3.5927 || LR: 0.00100000 || Batchtime: 1.0921 s || ETA: 0:14:21
Epoch:9/10 || Epochiter: 19/403 || Iter: 3243/4030 || Loc: 1.4711 Cla: 1.7833 Landm: 4.0834 || LR: 0.00100000 || Batchtime: 1.2207 s || ETA: 0:16:01
Epoch:9/10 || Epochiter: 20/403 || Iter: 3244/4030 || Loc: 1.2063 Cla: 1.7288 Landm: 4.1631 || LR: 0.00100000 || Batchtime: 0.9953 s || ETA: 0:13:03
Epoch:9/10 || Epochiter: 21/403 || Iter: 3245/4030 || Loc: 1.4185 Cla: 1.8116 Landm: 3.2101 || LR: 0.00100000 || Batchtime: 1.0143 s || ETA: 0:13:17
Epoch:9/10 || Epochiter: 22/403 || Iter: 3246/4030 || Loc: 1.4760 Cla: 1.9584 Landm: 3.0943 || LR: 0.00100000 || Batchtime: 1.0562 s || ETA: 0:13:49
Epoch:9/10 || Epochiter: 23/403 || Iter: 3247/4030 || Loc: 0.9737 Cla: 1.5645 Landm: 3.4711 || LR: 0.00100000 || Batchtime: 1.2547 s || ETA: 0:16:23
Epoch:9/10 || Epochiter: 24/403 || Iter: 3248/4030 || Loc: 1.1625 Cla: 1.7227 Landm: 3.0162 || LR: 0.00100000 || Batchtime: 1.1539 s || ETA: 0:15:03
Epoch:9/10 || Epochiter: 25/403 || Iter: 3249/4030 || Loc: 0.9479 Cla: 1.6470 Landm: 3.2342 || LR: 0.00100000 || Batchtime: 1.1290 s || ETA: 0:14:42
Epoch:9/10 || Epochiter: 26/403 || Iter: 3250/4030 || Loc: 1.0964 Cla: 1.5930 Landm: 3.4418 || LR: 0.00100000 || Batchtime: 0.8338 s || ETA: 0:10:51
Epoch:9/10 || Epochiter: 27/403 || Iter: 3251/4030 || Loc: 1.3203 Cla: 1.7812 Landm: 3.1219 || LR: 0.00100000 || Batchtime: 1.0282 s || ETA: 0:13:22
Epoch:9/10 || Epochiter: 28/403 || Iter: 3252/4030 || Loc: 1.3052 Cla: 1.7468 Landm: 4.4526 || LR: 0.00100000 || Batchtime: 1.0253 s || ETA: 0:13:18
Epoch:9/10 || Epochiter: 29/403 || Iter: 3253/4030 || Loc: 1.1802 Cla: 1.5669 Landm: 3.2353 || LR: 0.00100000 || Batchtime: 1.0193 s || ETA: 0:13:13
Epoch:9/10 || Epochiter: 30/403 || Iter: 3254/4030 || Loc: 1.3000 Cla: 1.8898 Landm: 5.6064 || LR: 0.00100000 || Batchtime: 0.9295 s || ETA: 0:12:02
Epoch:9/10 || Epochiter: 31/403 || Iter: 3255/4030 || Loc: 1.3057 Cla: 1.8979 Landm: 4.0063 || LR: 0.00100000 || Batchtime: 1.2088 s || ETA: 0:15:38
Epoch:9/10 || Epochiter: 32/403 || Iter: 3256/4030 || Loc: 1.0848 Cla: 1.6251 Landm: 3.0925 || LR: 0.00100000 || Batchtime: 0.9893 s || ETA: 0:12:46
Epoch:9/10 || Epochiter: 33/403 || Iter: 3257/4030 || Loc: 1.3465 Cla: 1.9350 Landm: 4.0179 || LR: 0.00100000 || Batchtime: 0.9155 s || ETA: 0:11:48
Epoch:9/10 || Epochiter: 34/403 || Iter: 3258/4030 || Loc: 1.0428 Cla: 1.6217 Landm: 4.6010 || LR: 0.00100000 || Batchtime: 1.2208 s || ETA: 0:15:43
Epoch:9/10 || Epochiter: 35/403 || Iter: 3259/4030 || Loc: 0.9262 Cla: 1.4483 Landm: 2.8185 || LR: 0.00100000 || Batchtime: 1.0183 s || ETA: 0:13:06
Epoch:9/10 || Epochiter: 36/403 || Iter: 3260/4030 || Loc: 1.1236 Cla: 1.5590 Landm: 4.0872 || LR: 0.00100000 || Batchtime: 1.0114 s || ETA: 0:12:59
Epoch:9/10 || Epochiter: 37/403 || Iter: 3261/4030 || Loc: 0.9600 Cla: 1.5691 Landm: 3.4734 || LR: 0.00100000 || Batchtime: 1.1699 s || ETA: 0:15:00
Epoch:9/10 || Epochiter: 38/403 || Iter: 3262/4030 || Loc: 1.0997 Cla: 1.6542 Landm: 3.3703 || LR: 0.00100000 || Batchtime: 1.1180 s || ETA: 0:14:19
Epoch:9/10 || Epochiter: 39/403 || Iter: 3263/4030 || Loc: 0.8224 Cla: 1.4838 Landm: 2.7778 || LR: 0.00100000 || Batchtime: 1.1160 s || ETA: 0:14:17
Epoch:9/10 || Epochiter: 40/403 || Iter: 3264/4030 || Loc: 1.1905 Cla: 1.6232 Landm: 3.7427 || LR: 0.00100000 || Batchtime: 1.2417 s || ETA: 0:15:52
Epoch:9/10 || Epochiter: 41/403 || Iter: 3265/4030 || Loc: 1.2490 Cla: 1.6288 Landm: 3.7231 || LR: 0.00100000 || Batchtime: 0.9753 s || ETA: 0:12:27
Epoch:9/10 || Epochiter: 42/403 || Iter: 3266/4030 || Loc: 1.1655 Cla: 1.8181 Landm: 3.4468 || LR: 0.00100000 || Batchtime: 1.0581 s || ETA: 0:13:29
Epoch:9/10 || Epochiter: 43/403 || Iter: 3267/4030 || Loc: 1.0585 Cla: 1.5172 Landm: 3.1979 || LR: 0.00100000 || Batchtime: 1.1320 s || ETA: 0:14:24
Epoch:9/10 || Epochiter: 44/403 || Iter: 3268/4030 || Loc: 0.9271 Cla: 1.3481 Landm: 1.8989 || LR: 0.00100000 || Batchtime: 1.0442 s || ETA: 0:13:16
Epoch:9/10 || Epochiter: 45/403 || Iter: 3269/4030 || Loc: 1.1957 Cla: 1.7989 Landm: 3.1411 || LR: 0.00100000 || Batchtime: 0.8966 s || ETA: 0:11:23
Epoch:9/10 || Epochiter: 46/403 || Iter: 3270/4030 || Loc: 1.0070 Cla: 1.6971 Landm: 2.9490 || LR: 0.00100000 || Batchtime: 1.0801 s || ETA: 0:13:41
Epoch:9/10 || Epochiter: 47/403 || Iter: 3271/4030 || Loc: 0.9800 Cla: 1.3929 Landm: 3.0878 || LR: 0.00100000 || Batchtime: 0.9305 s || ETA: 0:11:47
Epoch:9/10 || Epochiter: 48/403 || Iter: 3272/4030 || Loc: 1.4261 Cla: 2.0416 Landm: 4.8784 || LR: 0.00100000 || Batchtime: 0.9445 s || ETA: 0:11:56
Epoch:9/10 || Epochiter: 49/403 || Iter: 3273/4030 || Loc: 1.0545 Cla: 1.4827 Landm: 2.8338 || LR: 0.00100000 || Batchtime: 1.0672 s || ETA: 0:13:28
Epoch:9/10 || Epochiter: 50/403 || Iter: 3274/4030 || Loc: 1.2697 Cla: 1.8440 Landm: 3.1870 || LR: 0.00100000 || Batchtime: 1.0642 s || ETA: 0:13:25
Epoch:9/10 || Epochiter: 51/403 || Iter: 3275/4030 || Loc: 1.2484 Cla: 1.7277 Landm: 3.9867 || LR: 0.00100000 || Batchtime: 1.0781 s || ETA: 0:13:35
